ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
senior research officer	variRTa_anusaMXAna_aXikArI
senior salesman	variRTa_bikrIkarwA
senior scale	variRTa_vewanamAna
senior scientific officer	variRTa_vEjFAnika_aXikArI
senior signal and telecommunication engineer	variRTa_siganala_Ora_xUrasaMcAra_iMjIniyara
senior signaller	variRTa_siganalara
senior special inspector	variRTa_viSeRa_nirIkRaka
senior statistical inspector	variRTa_sAMKyikI_nirIkRaka
senior stenographer	variRTa_ASulipika
senior stores chaser	variRTa_BaMdAra_cejZara
senior stores officer	variRTa_BaMdAra_aXikArI
senior technical inspector	variRTa_wakanIkI_nirIkRaka
senior technical officer	variRTa_wakanIkI_aXikArI
senior telegraph overseer	variRTa_wAra_ovarasiyara
senior telephone operator	variRTa_telIPZona_AEYParetara
senior teleprinter operator	variRTa_xUramuxraka_pracAlaka
senior ticket collector	variRTa_tikata_kalaktara
senior time keeper	variRTa_tAimakIpara
senior time scale	variRTa_kAla-mAna
senior trade inspector	variRTa_vyavasAya_nirIkRaka
senior train examiner	variRTa_gAdZI_nirIkRaka
senior transhipment clerk	variRTa_yAnAMwaraNa_klarka
senior transit clerk	variRTa_pAravahana_klarka
senior translator	variRTa_anuvAxaka
senior travelling ticket examiner	variRTa_cala_tikata-parIkRaka
senior van loading inspector	variRTa_yAna_laxAna_nirIkRaka
senior water and drainage inspector	variRTa_jala_Ora_jalanikAsI_nirIkRaka
senior x ray technician	variRTa_eksa_re_wakanISiyana
seniority cum fitness	variRTawA_saha_upayukwA
seniority list	variRTawA_sUcI
seniormost personal assistant	variRTawama_nijI_sahAyaka
seniormost production assistant	variRTawama_praswuwi_sahAyaka
seniormost reception officer	variRTawama_svAgawa_aXikArI
seniormost receptionist	variRTawama_svAgawaka
sense of duty	karwavya_BAvanA
sensitive commodity	asWira_BAvavAlI_IaMvexanaSIla_vaswu
sensitive goods of diverse nature	viviXa_prakAra_kI_sugrAhI_vaswueM
sensitive market	asWira_bAjAra
sensory activity	saMvexI_kriyA
sensory epilepsy	saMvexaka_mirgI
sentry box	praharI_kakRa
sentry duty	saMwarI_kA_kArya
sentry go	saMwarI_kA_kArya
separation energy	viBAjana_Sakwi
sequental machine	anukramika_maSIna
sequential access method	anukramika_aBigama_viXi
sequential file	anukramika_saMcikA
sequential interdependence	anukramika_anASrayawA
sequential machine	anukramika_maSIna
sequential object	anukramika_vaswu
sequential processing	anukramika_prakramaNa
serial binary transmission	kramika_xviXArI_saMcaraNa
serial correlation	kramika_sahayojana
serial line internet protocol	kramika_lAina_iMtaraneta
serial list	krama_sUcI
serial number	kramAMka
serial representation	kramika_nirUpaNa
series bond	SrqMKalA_bAMda_aaMXapawra
series simulation	SreNI_saMkalana
serious dimension	gaMBIra_AyAma
serious minded	gamBIra_svaBAvavAlA
service cap	sevA_topI
server license	parisevaka_anujFAmpalqpwi
server maintenance	parisevaka_raKaraKAva
server process	parisevaka_prakrama
service Charge	sevA_Sulka
service abroad	vixeSa_meM_nOkarI
service access point	sevA_aBigama_vinxu
service agency	sevA_saMsWA
service area	sahAyawA_kRewra
service book assistant	sevA_puswikA_sahAyaka
service book	sarvasa_buka
service break	sevA_meM_rukAvata
service bureau	nOkarI_saMbaMXI_kAryAlaya
service call	sevA_kAla
service cap	sevA_topI
service card	sevA_kArda
service charge	sevA_Sulka
service charges of banks	bEMkoM_ke_sevA_Sulka
service club	sarvisa_klaba
service code	sevA_saMhiwA
service conditions are not statisfactory	sevA_sWiwi_saMwoRapraxa_nahIM_hE
service conditions	sevA_SarweM
service contract	nOkarI_kA_anubanXa
service cutback	sevA_meM_katOwI
service data unit	sevA_AMEYkadZA_ikAI
service department	sevA_viBAga
service door	Bojana_parosane_kA_xvAra
service elevator	liPta
service employee	kAryAlaya_karmacArI
service entrance	Bojana_pAwroM_ko_lAne_kA_xvAra
service fund	sevA_niXi
service of documents	xaswAvejoM_kI_wAmIla
service of process	wAmila_karanA
service of summon	samana_wAmIla
service organisation	sevA_saMgaTana
service payments	sevA_axAyagiyAM
service personnel	POjI_kArmika
service postage stamp	sarakArI_dAka-tikata
service provider	sevA_praxAwA
service records	sevApawra
service request	sevA_anuroXa
service roll	sevAvqwwa
service rules	sevA_niyama
service sheet	sevA-pawra
service societies	sevA_samiwiyAM
service stamp	sarakArI_tikata
service telegram	sarakArI_IiBAgIya_wAra
service verificatio	sevA_sawyApana
serviceable material	upayogI_sAmagrI
services sports control board	sarvisejZa_spAtrsa_kaMtrola_borda
servicing facilities	sevA_suviXAeM
servicing of debt	qNa_sevA
servicing of debts	qNa_SoXana
serving and retired	sevArawa_Ora_sevAnivqww
serving cart	Bojana_parosane_kI_gAdZI
serving dish	parosane_kA_barwana
servo multiplier	sarvo_guNaka
session control	sawra_niyaMwraNa
session layer	sawra_swara
session of parliament	saMsaxa_sawra
sessions court	seSana_nyAyAlaya
sessions judge	seSana_nyAyAXISa
set aside	apAswa_karanA
set back	rukAvata
set break point	vicCexa_biMxunirxeSana
set chisel	seta_CenI
set difference	samuccaya_aMwara
set forward	Age_baDZA
set of bills	biloM_kA_seta
set off	mujarA_karanA
set operation	samuccaya_pracAlana
set operations	samuccaya_saMcAlana
set out	prasWAna_karanA
set point	nirxeSa_biMxu
set program mask	progrAma_prAcCAxa_sWApana
set square	wriBujI
set storage key	BaMdAraNa_kuMjI_nirXAraNa
set symbol	nirxeSa_prawIka
set system mask	waMwra_prAcCAxa_sWApana
set treature	nipatAye_gaye_KAwe
set uid bit	yU_AI_dI_bita_nirXAraNa
set up diagram	vyavasWA_AreKa
set up	vyavasWA
setting time	sWApana_kAla
settle scores	baxalA_lenA
settled down	ArAma_se_bETA
settlement account section	pariSoXana_leKA_anuBAga
settlement commissioner	baMxobaswa_Ayukwa
settlement day	nipatAna_xivasa
settlement days	nipatAna_avaXi
settlement effort	baMxobaswa_prayAsa
settlement money	baMxobaswa_kA_pEsA
settlement of claim	xAve_kA_nipatAna
settlement of land revenue	BU_rAjasaWauva_vyavasWA
settlement of officer	baMxobaswa_aipatAna_aXikArI
settlement of wages	majZaxUrI_cukAWa_augawAna
settlement officer	baMxobaswa_aXikArI
settlement wing	baMxobaswa_viMga
settling carrier	BugawAnI_vAhaka
sevaral liability	pqWak_xeyawA
seven bit byte	sAwa_bita_bAita
seven hundred	sAwasO
seven layer reference model	sAwa_pariwa_saMxarBa_nixarSa
seven segment display	sapwaKaMda_praxarSa
seventh chord	sAwavAz_sura
seventh crusade	sapwam-XarmayuxXa
seventy eight	aTahawwara
seventy five	picahawwara
seventy four	cOhawwara
seventy nine	unnAsI
seventy one	ikahawwara
seventy seven	sawahawwara
seventy six	Cihawwara
seventy three	wihawwara
seventy two	bahAwwara
severable contract	vicCexanIya_saMvixA
severance of relatiions	sambanXa_vicCexa
severe chill	bahuwa_TaMdaka
severe cold	bahuwa_sarxa
severe drought	BayaMkara_sUKA
severe loss	bahuwa_nukasAna
severe pain	bahuwa_xarxa
severity code	wruti_swara_kUta
sewage disposal engineer	mala_vyayana_iMjIniyara
sewage disposal	malApavahana
sewing basket	silAI_ke_kapadZoM_kI_tokarI
sex act	mEWuna_kriyA
sex activity	kAma_kriyA
sex appeal	liMga_AkarRaNa
sex chromosome	seksa_kromosoma
sexual abstention	yOna_saMbaMXoM_se_parehaja
sexual abuse	balAwkAra
sexual activity	yOna_kriyA
sexual arousal	lEMgika_uwwejana
sexual assault	lEMgika_hamalA
sexual climax	yOna_caramasImA
sexual conquest	kAma_vijaya
shadow block	prawiCAyA_KaMda
shadow mask	prawiCAyA_prAcCAxa
shadow money	ABAsI_muxrA
shadow page tables	prawiCAyA_pqRTa_sAraNI
shadow page	prawiCAyA_pqRTa
shadow price	kalpiwa_kImawa
shadow segment tables	prawiCAyA_KaMda_wAlikA
shadow segments tables	prawiCAyA_KaMda_sAraNI
shaggy bear	lambe_mote_bAloM_vAlA_BAlU
shake down	biCOnA
shall be obliged	mEM_anugqhIwa_hoUzgA
shall not be questioned on any ground	kisI_BI_AXAra_para_Apwwi_nahIM_kI_jAegI
shallow binding	aboXa_baMXana
shallow fording	calawe_hue_pAra_karanA
sham transaction	miWyA_saMvyavahAra
shannon fano coding	SEnana_PEno_kUtaleKana
shannon hartley law	SEnana_hArtalI_niyama
shaping network	Akqwi_saMSoXaka_netavarka
shar file	Seyara_saMcikA
share application allotment register	Seyara_Avexana_Ora_AbaMtana_rajistara
share borker	Seyara_xalAla
share capital audit	Seyara_pUMjI_leKAparIkRA
share capital deferred	AsWagiwa_Seyara_pUMjI
share capital	Seyara_pUMjI
share certificate audit	Seyara_pramANa_pawra_leKAparIkRA
share certificate	Seyara_pramANa_pawra
share cropper	baMtAWaxAra
share distribution list	Seyara_viwaraNa_sUcI
share issues	Seyara_nirgama
share transfer audit	Seyara_aMwaraNa_leKA_parIkRA
share transfer deed	Seyara_aMwaraNa_vileKa
share transfer	Seyara_aMwaraNa
share warrant	Seyara_aXipawra_aAraMta
shared access	sahaBAjIwa_aBigama
shared batch area	sahaBAjIwa_bEca_kRewra
shared disc	sahaBAjI_cakrikA
shared file	sahaBAjIwa_saMcikA
shared library	sahaBAgI_vAcanAlaya
shared logic system	sahaBAjIwa_warka_waMwra
shared logic	sahaBAjIwa_warka
shared memory	sahaBAjI_smqwi
shared page shared text segments	sahaBAjIwa_pqRTa_sahaBAjIwa
shared page	sahaBAjIwa_pqRTa
shared printer	sahaBAjI_muxrawaka
shared resource	sahaBAjIwa_sAXana
shared storage	sahaBAjI_BaMdAraNa
shared system	sahaBAjIwa_waMwra
shared text segments	sahaBAjIwa_pATyAMSa_KaMda
shared virtual area	sahaBAjIwa_aBAsI_kRewra
shareholder account	hissexAra_kA_KAwA
shareholders claim	SeyaraXArI_kA_xAvA
sharp Shooter	pakkA_niSAnabAjZa
sharp eyed	wIkRNaxqRtivAlA
sharp shooter	pakkA_niSAnabAjZa
shaving brush	hajAmawa_kA_braSa
shaving cream	SeviMga_krIma
shed clerk	Seda_klarka
shed turner	Seda_KZarAxI
sheep bell	BedZa_ke_gale_meM_bAzXane_kI_GaMtI
sheep dip	BedZoM_ke_bAloM_ke_kIdZe_mArane_vAlI_xavA
sheep dog	kuwwA{Bedo_kI_xeKaBAla_ke_liye}
sheep rearing	BedZa_pAlana
sheer away	bahaka_jAnA
sheet anchor	sahArA
sheet bend	pAla_se_lagA_huA_rassA
sheet feeder	parNa_Baraka
sheet lightning	bijalI_kI_camaka
sheffer stroke	SePara_stroka
shelf bracket	KZAnA_koRTaka
shelf life	SelPa_Ayu
shell account	SEla_KAwA
shell bean	PalI
shell collecting	sIpI_saMgrahaNa
shell command	kavaca_samAxeSa
shell out	pAragamana
shell script shortest job first scheduling	SEla_lipi_nikatawama_kArya_praWama
shell shock	manovikqwi
shell shocked	manovikqwigraswa
shell sort	koSa_CataMAI
shepherd dog	gadZariyA_kA_kuwwA
shielded cable	parirakRiwa_kebala
shielded twisted pair	parirakRiwa_marod@@Lwa
shift character	visWApana_gaNaka
shift counter	visWApana_gaNaka
shift down modem	aXo_visWApana_mOYdama
shift engineer	pArI_iMjIniyara
shift in character	aMwaH_visWApana_saMprawIka
shift instruction	visWApana_anuxeSa
shift manager	pArI_prabaMXaka
shift out character	bAhya_visWApana_saMprawIka
shift reduce parsing	visWApana_laGukaraNa_paxa_vinyAsa
shift register	visWApana_rajistara
shift supervisor	pArI_paryavekRaka
shift system	pArI-praNAlI
shifting charges	sWAnAMwaraNa_praBAra
shifting of tax	kara_BAra_aMwaraNa
shifting technique	nicAlana
shilly shally	Dulamula
shining clubmoss	camakaxAra_lAikopodiyama_pAxapa
ship biscuit	jahAjZI_biskuta
ship broker	jahAjI_xalAla
ship buildings	powa_nirmANa
ship chandler	jahAja_para_momabawwI_becane_vAlA
ship owner	powa_svAmI
shipboard duty	jahAjZa_kA_Sulka
shipping agent	powaparivahana_prawiniXi
shipping articles	jahAjZa_se_Bejane_kI_vaswu
shipping authority	nOvahana_aowa_parivahana
shipping bill	laxAna_bila
shipping business	powaparivahana_kArobAra
shipping clerk	nOvahana_klarka
shipping company	nOvahana_kampanI
shipping coordination officer	jahAjZarAnI_samanvaya_aXikArI
shipping corporation of india ltd.	BArawIya_jahAjZarAnI_nigama_li_
shipping day	laxAna_xina
shipping development fund committee	jahAjZarAnI_vikAsa_niXi_samiwi
shipping documents	powalaxAna_praleKa
shipping freight	jahAja_BAdZA
shipping inspector	jahAjZarAnI_nirIkRaka
shipping loans	jahAjarAnI_qNa
shipping order	nOparivahana_aaxAna_AxeSa
shipping survey	nOvahana_aowa_parivahana_sarvekRaNa
shipping value	laxAna_bAxa_kula_lAgawa
shipwright artificer	powakAra_pariSilpI
shire horse	Kaccara
shirt button	Sarta_kA_batana
shirt front	sInA
shirt pocket	kurwA_pAketa
shirt sleeve	kamIjZa_kI_AswIna
shirt tail	kamIjZa_kA_kamara_kA_nIce_vAlA_BAga
shlive surface	kaMpana_Palaka
shock absorber	SOYka_ebajZOYrbara
shock tactics	Akasmika_AkramaNa
shock treatement	praGAwa_cikiwsA
shoe black	jUwe_pAliSa_karane_vAlA_vyakwi
shoe salesman	jUwA_vikrewA
shoot out	golIbArI
shooting box	AKeta_petI
shooting brake	PilmAMkana_para_niyanwraNa
shooting gallery	SUtiMga_gElarI
shooting guard	SikAra_rakRaka
shooting match	pUrA_mAmalA
shooting method	prarohI_viXi
shooting star	ulkA
shop Keeper	xukAnaxAra
shop assistant	xukAna_sahAyaka
shop bell	xukAna_kI_GaMtI
shop boy	xukAna_meM_kAma_karane_vAlA_ladZakA
shop clerk	xukAna_kA_klarka
shop employee	xukAna_kA_karmacArI
shop floor	kAryaSAlA
shop keeper	xukAnaxAra
shop soiled	KarAba
shop superintendent	xukAna_aXIkRaka
shopping arcade	vipaNana_Arkeda
shopping bag	KZarIxArI_kA_WElA
shopping basket	KZarIxaxArI_kI_tokarI
shopping cart	KarIxaxArI_kI_gAdZI
shopping center	KZarIxaxArI_kenxra
shopping centre	vipaNana_keMxra
shopping day	KZarIxArI_xina
shopping plaza	vipaNana_plAjZA
shops inspector	xukAna_nirIkRaka
shore boulder	kinAre_kA_SilA_KaMda
shore duty	samuxrIwata_Sulka
shore serang	wata_serAMga
shore up	sahArA_lenA
short Sighted	nikataxarSI
short account	alpakAlika_KAwA
short bill	alpakAlika_huMdI_Iila
short bills book	alpakAlIna_huMdI_bahI
short bills books	alpakAlika_huMdI_Iila_bahI
short bills	alpakAlIna_alpakAlika_bila
short block	laGu_KaMda
short bone	CotI_haddI
short card	laGu_kArda
short circuit aperture	laGusarkita_apacrAra
short circuit	laGu_paWa
short code dialing	laGu_kUta_dAyalana
short covering	prawikaya_javAbI_KarIxa
short credit register	vasUla_kI_jAne_vAlI_liKiwoM_kA_rajistara
short credit	vasUlI_ke_lie_liKawa
short cut	CotA_rAswA
short dated paper	alpakAlika_alpAvaXi_prapawra_ainAMkiwa
short dated	alpakAlika
short demand of tax	kara_kI_kama_mAMga
short dialing	laGu_dAyalana
short division	CotA_BAjana
short handed	SramikoM_kI_kamI_se_graswa
short instruction	laGu_anuxeSa
short leave	alpAvaXi_CuttI
short levy of tax	kara_kA_kama_lagAyA_jAnA
short life	alpa_Ayu
short list	alpa_sUcI
short lived	alpAyu
short loan fund	alpakAlika_alpAvaXi_qNa_niXi
short loans fund	alpakAlika_uXAra_niXi
short loans	alpakAlika_alpAvaXi_qNa_aarja
short money	alpakAlika_rASi
short notice loan	alpa_sUcanA_qNa
short notice	alpa-sUcanA
short range	laGu_parisara
short recovery in shares	SeyaroM_ke_mUlya_meM_alpakAlIna_suXAra
short sale	maMxadZiyA_bikrI
short selling	maMxadZiyA_bikrI_kI_prakriyA
short shipment	apUrNa_powalaxAna
short shrift	tarakA_xenA
short sight	kamajora_xqRti
short sighted	nikataxarSI
short sightedness	kamajora_xqRtipana
short sleep	saMkRipwa_niMxrA
short staffed	SramikoM_kI_kamI_yA_nyUnawA_se_graswa
short stay	alpAvaXika
short stock	alpakAlIna_alpakAlika_stAka_aarakArI_qNa
short temper	cidZacidZApana
short tempered	kroXI
short term capital asset	alpakAlika_pUMjIgawa_parisampwwi
short term capital gain	alpakAlika_pUMjI_aiBalABa
short term capital	alpakAlika_pUMjI
short term course	alpakAlIna_alpAvaXi_pATZayakrama
short term credit	alpakAlika_uXAra
short term farm credit	alpakAlIna_alpAvaXi_kqRi_qNa
short term finance	alpakAlIna_alpAvaXi_vwwi
short term fluctuations	alpakAlIna_alpAvaXi_xata_baDZa
short term planning	alpAvaXi_niyojana
short term scheduling	alpakAlika_anusUcana
short term storage	alpakAlika_BaMdAraNa
short term	alpAvaXi
short time	alpa_avaXi
short title	saMkRipwa_nAma
short wave	laGu_waraMga
short word	laGu_Sabxa
shortbread cookie	KZaswA_dabalarotI_biskuta
shortest job first scheduling	laGUwama_kArya_praWama_anusUcana
shortest path algorithm	laGuwama_paWa_elgoriWma
shortest paths	laGuwama_paWa
shortest route	sabase_CotA_mAga
shorthand instructor	ASulipika_anuxeSaka
shorthand training	ASulipi_praSikRaNa
shot through with	kA_viSeRa_guNa_honA
shoulder blade	kaMXe_kI_haddI
shoulder bone	kaMXe_kI_haddI
shoulder tap	skaMXa_aMwarAgrahaNa
shovel board	belace_kA_waKwA
show bill	vijFApana
show biz	praxarSana
show card	So_kArda
show cause as to why strict action should not be taken	isa_bAwa_kA_kAraNa_bawAez_ki_saKZawa_kArravAWa_kyoM_kI_jAe
show cause memo	kAraNa_bawAo_jFApana
show cause notice	kAraNa_bawAo_notisa
show cause	kAraNa_bawAo_oixarSana
show off	xiKAvA_karanA
shower bath	PuhArasnAna
shower cap	nahAwe_vakwa_pahanane_vAlI_topI
showing contempt	mAnahAni_kA_praxarSana
showing disapproval	asammawi_xiKAnA
showing emotion	BAvanA_prakata_karanA
shrimp cocktail	Srimpa_kAkatela
shrink proof	siku_udZanevAlA
shub internet	Saba_aMwarajAla
shunting jamadar	SaMtiMga_jamAxAra
shunting master	SaMtiMga_mAstara
shunting neck	SaMtana_grIvA
shut down	kAmabaMxI
shut for dividend	lABAMSa_ke_lie_baMxa
shut off sequence	saMcaraNa_roXa_anukrama
shut off	banxa_karanA
shut out cargo	roka_xiyA_gayA_nOBAraNa
shut out or retained goods	laxAna_se_rokA_gayA_mAla
shut out shipment	bahiRkqwa_aokA_gayA_powalaxAna
shut up	cupa_ho_jAo
shuttle bus	Satala_gAdZI
siamese twins	judZavA_bacce_jo_Apasa_meM_judZe_ho
sick and tired of	se_awyaXika_UbA_huA
sick benefit	roga_BawwA
sick berth	asvasWa_kI_SAyikA
sick call	bImArI_kI_kAla
sick headache	siraxarxa
sick industry	bImAra_uxyoga
sick leave	roga_avakASa
sick mill	rugpra_aImAra_mila
sick report	asvasWawA
sick textile mills	rugpra_aImAra_kapadZA_mila
sick unit	rugNa_ikAI
sickle cell	lAla_KUna_kI_koSikA
sickness benefit	roga-BawwA
sickness insurance	bImArI_bImA
side by side	sAWa_sAWa
side car	pArSvagAdZI
side chair	kinAre_kI_kursI
side dish	salAxa
side door	pArSva_xvAra
side drum	awirikwa_Dola
side effect	xavAI_kA_xuRpraBAva
side entrance	pArSva_xvAra
side issue	gONa_viRaya
side light	vAhana_ke_Age_lagA_CotA_balba
side line	upajIvikA
side lobe	pArSva_pAli
side on	bagZala_se
side order	sahayogI_vyaMjana
side road	CotI_sadZaka
side splitting	lotapota_kara_xenevAlA
side street	CotI_galI
side view	eka_ora_kA_ciwra
side whiskers	galamucCA
siding charges	sAidiMga_praBAra
sig quote	sigola_leKa
sig virus	siga_vAyarasa
sight bills	xarSanI_huMdiyAM
sight draft	samakRa_banAyA_huA_drAPta
sight rate	xarSanI_xara
sigma language	sigmA_BARA
sigma memory	sigmA_smqwi
sigma storage	sigmA_BaMdAraNa
sigma tree	sigmA_warU
sigma word	sigmA_Sabxa
sign bit	cihna_bita
sign character	cinha_saMprawIka
sign condition	cinha_prawibaMXa
sign flag	cinha_Xvaja
sign language	iMgiwa_BARA
sign magnitude	cihna_parimANa
sign off	bixA_xenA
sign on	berojZagAra_vyakawi_ke_rUpa_meM_sUciwa_karanA
sign position	cihna_sWiwi
sign post	mArgapatta
sign writer	pattikA_leKaka
signal and telecommunication	saMkewa_Ora_xUrasaMcAra
signal box	siganala_bOYksa{rela_mArga_ke_bagala_meM_banA_huA_kamarA
signal caller	saMkewa_bolane_vAlA
signal conditioning	saMkewa_anukUlana
signal conversion equipment	saMkewa_rUpAMwaraNa_upakaraNa
signal converter	saMkewa_rUpAwaMrika
signal distance	saMkewa_xUrI
signal distributor	saMkewa_viwaraka
signal element	saMkewa_avyava
signal enabling	saMkewa_sakRamakaraNa
signal fitter	siganala_Pi_itara
signal foreman	siganala_PZuramEna
signal inhibiting	saMkewa_saMxamana
signal inspector	siganala_nirIkRaka
signal level	saMkewa_swara
signal man	signalamEna
signal officer	siganala_aXikArI
signal operation	saMkewa_prakriyA
signal processing	saMkewa_saMsAXana
signal processor	saMkewa_saMsAXiwra
signal ratio	saMkewa_anupAwa
signal regeneration	saMkewa_punarjanana
signal room clerk	saMkewa_kakRa_klarka
signal standardisation	saMkewa_mAnakIkaraNa
signal strength	saMkewa_wIvrawA
signal to noise ratio	saMkewa_Xvani_anupAwa
signal transformation	saMkewa_rUpAMwaraNa
signaling rate	saMkewa_xara
signals intelligence	sAMkewika_gupwa-sUcanA
signature analysis	cihnaka_viSleRaNa
signature campaign	haswAkRara_aiBayAna
signature officer	haswAkRara_aXikArI
signature pad	haswAkRara_pEda
signature testing	cihniwa_parIkRaNa
signed field	cinhiwa_kRewra
signed magnitude representation	cinhiwa_parimANa_nirUpaNa
signed packet decimal	cinhiwa_saMkuliwa_xaSamalava
signet ring	muxrikA
significant balance	ulleKanIya_jamA_AeRa_rASi
significant digit arithmetic	sArWaka_aMka_parikalana
significant digit	sArWaka_aMka
significant excess accrued in the following heads of accounts	nimnaliKiwa_leKA_SIrRoM_meM_bahuwa_aXika_vyaya_huA
significant figure	sArWaka_aMka
significant interval	sArWaka_aMwarAla
signing ceremony	gAyana_samAroha
signs of use	prayoga_ke_cinha
sikkimese unit	siikkama_ekaka
silicon chip	silIkOYna_cIpa
silicon gate	silIkOYna_xvAra
